no,type,status,summary,description
ISIS-2969,Bug,Closed,ManagedObject's NATURAL_NULL_FIRST Comparator cannot handle null well,Nulled objects will never match any instanceof tests.
ISIS-2968,Improvement,Open,[Validation] Guard against Members that contribute vetoed Domain-Types,"I'm currently not sure what happens if a vetoed type appears as a property-, action-return- or action-parameter-type. That should trigger a MM validation error, such that these types cannot find a sneaky way into the MM."
ISIS-2967,Bug,Resolved,ApplicationUser.@UserLocale is missing MAX_LENGTH definitions,"The @Property and @Parameter both mis a maxlength definition. As a result the script in the M7 migration notes, which states a length of 120, is in conflict with the default of 20 in ISIS. This leads to runtime exceptions:
{code:java}
org.datanucleus.store.rdbms.exceptions.WrongPrecisionException: Wrong precision for column isisExtensionsSecman.ApplicationUser.""language"" : was 120 (according to the JDBC driver) but should be 20 (based on the MetaData definition for field org.apache.isis.extensions.secman.jdo.user.dom.ApplicationUser.language) {code}"
ISIS-2966,Improvement,Closed,Make it an Option whether to include non-essential Mixins or not.,"We could provide a Spring @Configuration class by the name IsisModuleApplibMixins, that imports all mixins (applib) that we currently provide. But that would be up for Devs to use or not or to customize.

Do this for other artifacts analog. IsisModuleXxx ..."
ISIS-2965,Task,In Progress,Release activities for 2.0.0-RC1,
ISIS-2964,Bug,Resolved,UserMemento fails Deserialization as a Viewmodel,"Caused by: java.lang.NoSuchMethodException: org.apache.isis.applib.services.user.UserMemento.<init>()
"
ISIS-2963,Bug,Closed,facet-processing: annotations not recognized on primitive boolean properties,As demonstrated with the demo app.
ISIS-2962,Bug,Closed,[Wicket Viewer] Re-hydrate issues when jumping between tabs in a non-Jaxb view model,"Referenced JDO entities get detached from JDO persistence layer during switching between tabs, which crosses AJAX request boundaries. However, on rendering, referenced JDO entities don't get re-fetched."
ISIS-2961,Bug,Closed,"[Wicket Viewer] When cancelling update on textfield, the cancelled text remains visible (until page refresh)",See screenshots. Can be reproduced in both JPA and JDO simple app.
ISIS-2960,Bug,Open,jdo + jpa : duplicate primary key exception is not propagated to Wicket viewer,
ISIS-2959,Improvement,Open,[Wicket Viewer] menu bar lists which are too long (eg Prototyping) should have a scroll bar.,
ISIS-2958,Bug,Open,IsisToWicketTreeAdapter$TreeModel Deserialization fails to resolve Injection Points,"{{org.apache.isis.viewer.wicket.ui.components.entity.icontitle.EntityIconAndTitlePanel.determineTitle()}}{color:#1d1c1d} would try to resolve the title of the node and then fails with a {color}{{NullPointerException}}

Nodes are view models, not entities.

Current workaround: inject the dependencies via custom TreeAdapter implementation.

 

 "
ISIS-2957,Improvement,Closed,[kroviz] Visualize REST Performance,"Embed data2viz and use it to draw a bubble chart (x: starttime, y: duration, siZe: response size).
C,f, https://www.d3-graph-gallery.com/graph/bubble_template.html"
ISIS-2956,Bug,Closed,[Metamodel] False positive when guarding against JDO Version Annotation Override,"{{domainapp.app.MyType: cannot have @Version annotated on this subclass and any of its supertypes; superclass: domainapp.app.TypeAbstract }}Code roughly looks like this and worked fine until the upgrade to the latest nightly (from M6.20220115 to M6.20220210):
@javax.jdo.annotations.Version(strategy= VersionStrategy.DATE_TIME, column=""version"")
public abstract class TypeAbstract {

@javax.jdo.annotations.PersistenceCapable
@javax.jdo.annotations.Inheritance(strategy=javax.jdo.annotations.InheritanceStrategy.NEW_TABLE)
public class MyType extends TypeAbstract {"
ISIS-2955,Bug,Closed,[kroviz] Build fails on Windows (commands 'cp' and 'mv' not available),"[ERROR] Failed to execute goal org.codehaus.mojo:exec-maven-plugin:3.0.0:exec (copy-jar) on project isis-client-kroviz: Command execution failed. Cannot run program ""cp"" (in directory ""...isis\incubator\clients\kroviz""): CreateProcess error=2, The system cannot find the file specified"
ISIS-2954,Bug,Closed,[Demo] UUID Value-Type Choice Select fails with '... value required',"Event though value is present from choice select drop-down, a validation failure message is produces on drop-down value select."
ISIS-2953,Improvement,Open,[kroviz] Improve Branding,"* use small image for MenuBar
* in case of missing logo, use sensible default 
* overload fixed values for colors, fonts, sizes with values form user specified file (c.f. theme in the wicket viewer)
* refactor About dialog
* refactor Samples"
ISIS-2952,Improvement,Closed,[Testing] Support for declarative Interaction Context Specification,"Proposal:


{code:java}
@Test
@InteractAs(
    userName=""sven"", 
    localeName=""en"", 
    frozenDateTime=""2010-01-01 13:02:04 -03"",
    ...)
void test() { 
  // ...
}
{code}
"
ISIS-2951,Improvement,Closed,[Secman] TenantedAuthorizationFacetDefault to recognize System User as not to be vetoed,It seems that the TenantedAuthorizationFacetDefault will veto visbility of any object because the __system user is not recognized as valid ApplicationUser.
ISIS-2950,Bug,Closed,Various Glitches detected by Trying all Demo Menu Actions,"We detected demo bugs as well as framework bugs, via a new kroViz feature, that would systematically try all demo menu actions.
* demo service provisioning issues
* demo entity registration
* value-type marshalling
* async wrapper execution bug
* ro-viewer not handling null values for properties well"
ISIS-2949,New Feature,Closed,[kroviz] Execute All MenuBar Actions at Once,Collecting HTTP 500 can be done via Event view filtering.
ISIS-2948,Bug,Closed,[RO Viewer] Element-type not correctly represented for Collections.,"I'm on master and get a.m. message for http://localhost:8080/restful/domain-types/demo.JavaLangStringHolder

{code:java}
org.apache.isis.viewer.restfulobjects.rendering.domaintypes.DomainTypeReprRenderer.render(DomainTypeReprRenderer.java:70)
org.apache.isis.viewer.restfulobjects.rendering.Responses.ofOk(Responses.java:67)
org.apache.isis.viewer.restfulobjects.rendering.Responses.ofOk(Responses.java:56)
org.apache.isis.viewer.restfulobjects.viewer.resources.DomainTypeResourceServerside.domainType(DomainTypeResourceServerside.java:134)
java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.base/java.lang.reflect.Method.invoke(Method.java:566)
org.jboss.resteasy.core.MethodInjectorImpl.invoke(MethodInjectorImpl.java:170)
org.jboss.resteasy.core.MethodInjectorImpl.invoke(MethodInjectorImpl.java:130)
org.jboss.resteasy.core.ResourceMethodInvoker.internalInvokeOnTarget(ResourceMethodInvoker.java:660)
org.jboss.resteasy.core.ResourceMethodInvoker.invokeOnTargetAfterFilter(ResourceMethodInvoker.java:524)
org.jboss.resteasy.core.ResourceMethodInvoker.lambda$invokeOnTarget$2(ResourceMethodInvoker.java:474)
org.jboss.resteasy.core.interception.jaxrs.PreMatchContainerRequestContext.filter(PreMatchContainerRequestContext.java:364)
org.jboss.resteasy.core.ResourceMethodInvoker.invokeOnTarget(ResourceMethodInvoker.java:476)
org.jboss.resteasy.core.ResourceMethodInvoker.invoke(ResourceMethodInvoker.java:434)
org.jboss.resteasy.core.ResourceMethodInvoker.invoke(ResourceMethodInvoker.java:408)
org.jboss.resteasy.core.ResourceMethodInvoker.invoke(ResourceMethodInvoker.java:69)
org.jboss.resteasy.core.SynchronousDispatcher.invoke(SynchronousDispatcher.java:492)
org.jboss.resteasy.core.SynchronousDispatcher.lambda$invoke$4(SynchronousDispatcher.java:261)
org.jboss.resteasy.core.SynchronousDispatcher.lambda$preprocess$0(SynchronousDispatcher.java:161)
org.jboss.resteasy.core.interception.jaxrs.PreMatchContainerRequestContext.filter(PreMatchContainerRequestContext.java:364)
org.jboss.resteasy.core.SynchronousDispatcher.preprocess(SynchronousDispatcher.java:164)
org.jboss.resteasy.core.SynchronousDispatcher.invoke(SynchronousDispatcher.java:247)
org.jboss.resteasy.plugins.server.servlet.ServletContainerDispatcher.service(ServletContainerDispatcher.java:249)
org.jboss.resteasy.plugins.server.servlet.HttpServletDispatcher.service(HttpServletDispatcher.java:60)
org.jboss.resteasy.plugins.server.servlet.HttpServletDispatcher.service(HttpServletDispatcher.java:55)
javax.servlet.http.HttpServlet.service(HttpServlet.java:764)
org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:227)
org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:53)
org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:189)
org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
org.apache.isis.viewer.restfulobjects.viewer.webmodule.IsisRestfulObjectsInteractionFilter.lambda$doFilter$1(IsisRestfulObjectsInteractionFilter.java:387)
org.apache.isis.commons.functional.ThrowingRunnable.lambda$toCallable$0(ThrowingRunnable.java:42)
org.apache.isis.commons.functional.Result.of(Result.java:58)
org.apache.isis.core.runtimeservices.transaction.TransactionServiceSpring.callTransactional(TransactionServiceSpring.java:108)
org.apache.isis.applib.services.xactn.TransactionalProcessor.callWithinCurrentTransactionElseCreateNew(TransactionalProcessor.java:100)
org.apache.isis.applib.services.xactn.TransactionalProcessor.runWithinCurrentTransactionElseCreateNew(TransactionalProcessor.java:110)
org.apache.isis.viewer.restfulobjects.viewer.webmodule.IsisRestfulObjectsInteractionFilter.lambda$doFilter$3(IsisRestfulObjectsInteractionFilter.java:386)
org.apache.isis.core.runtimeservices.session.InteractionServiceDefault.runInternal(InteractionServiceDefault.java:329)
org.apache.isis.core.runtimeservices.session.InteractionServiceDefault.run(InteractionServiceDefault.java:272)
org.apache.isis.viewer.restfulobjects.viewer.webmodule.IsisRestfulObjectsInteractionFilter.doFilter(IsisRestfulObjectsInteractionFilter.java:383)
org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:189)
org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
org.apache.isis.core.webapp.modules.logonlog.IsisLogOnExceptionFilter.doFilter(IsisLogOnExceptionFilter.java:60)
org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:189)
org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
org.springframework.web.filter.CorsFilter.doFilterInternal(CorsFilter.java:91)
org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:117)
org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:189)
org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
org.springframework.web.filter.FormContentFilter.doFilterInternal(FormContentFilter.java:93)
org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:117)
org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:189)
org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
org.springframework.boot.actuate.metrics.web.servlet.WebMvcMetricsFilter.doFilterInternal(WebMvcMetricsFilter.java:96)
org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:117)
org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:189)
org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:201)
org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:117)
org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:189)
org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:162)
org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:197)
org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:97)
org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:540)
org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:135)
org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:92)
org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:78)
org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:357)
org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:382)
org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:65)
org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:895)
org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1732)
org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:49)
org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1191)
org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:659)
org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
java.base/java.lang.Thread.run(Thread.java:834)
{code}

"
ISIS-2947,New Feature,In Progress,GraphQL viewer,
ISIS-2946,Wish,Open,[Wish] Allow option to have Boolean scalar values toggle,"For a Boolean value to be toggled, it takes the following user actions:

   1. Click on the ""Yes/no"" text next to the checkbox

   2. Since the page just refreshed, scroll down to where the property was

   3. Click on the checkbox

   4. Click on the ""OK"" button

   5. Since the page just refreshed again, scroll down to see that your change took

 

It seems to me that a user usually expects to be able to update a checkbox with a single action and the current behavior is the result of building in a confirmation feature into the Wicket module.  For those who would prefer skip the confirmation step, we can have updates occur automatically.  This would make the checkbox intuitive and allow updates of other scalars without a submit button."
ISIS-2945,Improvement,Closed,[Tooling] Verify support for simplified <p> paragraph syntax within java-doc,Don't require for a java-doc paragraph to have an ending tag </p>.
ISIS-2944,Bug,Closed,[Metamodel] Support Method Discovery is not reliable when not annotated,"Don't fail with 'Action method overloading is not allowed', if the method with conflicting signature is annotated with 
{noformat}
@Domain.Exclude
{noformat}
"
ISIS-2943,Improvement,Closed,Reinstate ApplicationAdvice.APPLIES_EXCLUSIVELY,"Dan: the widget author might want ApplicationAdvice in order to ""take control"" and prevent other views.  So probably that should be reinstated"
ISIS-2942,Bug,Closed,Tenancy Child Removal not working," 

 "
ISIS-2941,Bug,Closed,Regression: Generic numerical primitive Field Editing throws due to missing Conversion,"only affects primitives, eg with double:
{noformat}
 java.lang.IllegalArgumentException
Object has incompatible type java.lang.String,must be an instance of java.lang.Double.
org.apache.isis.commons.internal.exceptions._Exceptions#illegalArgument(_Exceptions.java:79)
org.apache.isis.core.metamodel.spec.ManagedObjects#lambda$5(ManagedObjects.java:157)
org.apache.isis.commons.internal.binding._BindableAbstract#setValue(_BindableAbstract.java:120)
org.apache.isis.viewer.wicket.model.models.ScalarModel#setObject(ScalarModel.java:152)
org.apache.isis.viewer.wicket.ui.components.scalars.TextFieldValueModel#setObject(TextFieldValueModel.java:70)
org.apache.wicket.model.Model#setObject(Model.java:45) 
{noformat}"
ISIS-2940,Bug,Closed,wrapper's call to filterIfRequired results in an empty collection being converted to null.,see https://the-asf.slack.com/archives/CFC42LWBV/p1641738337005100
ISIS-2939,Improvement,Closed,[WON'T DO] Rename o.a.i.applib.annotation to o.a.i.applib.annotations (plural),This has come up as a requirement to ease migration for existing projects from v1 to v2 using Spring's AliasFor annotation.
ISIS-2938,Improvement,Closed,Don't allow DomainObject Annotation on Interfaces,"Add MM validation, to prevent misuse of DomainObject annotation on interfaces."
ISIS-2937,Improvement,Closed,Update Cheatsheets for M7,
ISIS-2936,Bug,Closed,[Regression] Starters are not aware of 'Bill of Materials',Import BOM into Starters. 
ISIS-2935,Bug,Closed,Wrapper: null arguments not properly adapted,"as in M6 nightly : 2.0.0-M6.20211222-0235-1757e8ed

@Parameter(maxLength = VatCode.MAX_LEN, optionality = OPTIONAL) in meta annotations like @VatCode are not picked up by Isis.

Resulted in an error when invoking via wrapper within an integ test:

Method threw 'java.lang.IllegalArgumentException' exception. arguments must be specified for action Action  ...

when using wrapMixin.act(null, ...)"
ISIS-2934,Improvement,Closed,[WON'T DO] Merge up /isis-core/ bill of materials into root pom,See also https://www.baeldung.com/spring-maven-bom
ISIS-2933,Improvement,Closed,[Tooling] Ignore the 'final' keyword with method signatures when generating adoc,
ISIS-2932,Improvement,Closed,Remove the /isis-parent/ module.,Instead merge up into root pom.
ISIS-2931,Bug,Closed,[Wicket] ChoiceProviders for EntityPage Features are populated eagerly.,seeing this for both: action-params with choices and properties with choices
ISIS-2930,Bug,Closed,Use of Collection Annotation w/o specifying a typeOf always yields Object.class,Use of Collection Annotation w/o specifying a typeOf attribute should instead enforce the framework to inspect any generic parameter type.
ISIS-2929,Bug,Closed,[Wicket] Sorting or expanding a table results in new DataTableModel detached from Checkbox-Toggle-Model,"After sorting or expanding a table, the Checkbox-Toggle model from the UI runs out of sync with the DataTableModel used to feed associated actions."
ISIS-2928,New Feature,Resolved,[kroviz] Show Application Logo in MenuBar,
ISIS-2927,New Feature,Open,[Vaa] Use DataTableModel for rendering Collections/Tables,We had recently introduced a new model for collection/table rendering with the Wicket Viewer. The Vaadin Viewer needs to be rewired to use this new DataTableModel.
ISIS-2926,New Feature,Open,[Vaa] Support for Bootstrap Grid Layout,Adopt layout support for rendered pages from the Wicket Viewer.
ISIS-2925,New Feature,Open,[Vaa] Support for all fundemental Value Types,"That is those, that the Demo App features (strings, numbers, temporals, blobs, clobs, ...)."
ISIS-2924,New Feature,Closed,[Vaa] Encapsulate node.js within Vaadin Viewer's Maven Artifacts,"Such that developers don't have to pull node.js for building their domain models.

Experiments with this have been started at https://github.com/apache-isis-committers/isis-lab/tree/master/experiments/vaadin"
ISIS-2923,New Feature,Open,[Vaa] Split the Vaadin Demo into JPA/JDO parts,Just like we did with the Wicket Demo.
ISIS-2922,New Feature,Open,[Vaa] Integrate FilteringTable,https://vaadin.com/directory/component/filteringtable
ISIS-2921,Bug,Closed,ScalarModelWithMultiChoice might throw Exception,"# False positives on ManagedObject check for proper packing, when the ManagedObject is empty.
# Parameters as a Tuple (PAT) when holding entities, these might become detached during parameter negotiation process.

"
ISIS-2920,Improvement,Closed,"[i18n] Remove LocaleProvider, instead use the InteractionContext","LocaleProvider is no longer needed, as we have 'per user locales' now."
ISIS-2919,Improvement,In Progress,Session-scoped Time-zone Support,InteractionContext needs time-zone information for the current user/client.
ISIS-2918,Improvement,Closed,[SecMan] Support for per User Locale,"* Add Locale as supported value-type. 
* Extend ApplicationUser with new property 'locale'.
* Make the SecMan module a provider of a LocaleResolver. 
* Make the framework interactions sensitive to LocaleResolvers."
ISIS-2917,Improvement,Closed,[Wicket Viewer] Allow direct export of Collection Views,"Eg. we have a Collection View for Excel, which does nothing more than render a download link button on its own panel. 

Why not just execute the download directly when one clicks on the menu dropdown link!"
ISIS-2916,Improvement,Closed,Introduce @LogicalTypeName to properly map abstract types onto the security model,"Take for example from the demo a type, which is implemented by JDO/JPA entity types and a viewmodel:

public interface WrapperDoubleHolder { ... }

We need a programming model such that we can declare for this interface, which logical-type it maps to, when deciding whether a logged on user has access to this type or not."
ISIS-2915,Bug,Closed,[Regression] SecMan User Manager throws RuntimeEx on rendering,"Caused by: java.lang.RuntimeException: unrecoverable error: 'action vetoed: [no such associated action newLocalUser for collection org.apache.isis.extensions.secman.applib.user.app.ApplicationUserManager#allUsers() (which is not a collection)] 'action' either does not exist, is disabled or is not visible'
	at org.apache.isis.commons.internal.exceptions._Exceptions.unrecoverable(_Exceptions.java:140) ~[classes/:?]
	at org.apache.isis.core.metamodel.interactions.managed.ActionInteraction.lambda$4(ActionInteraction.java:189) ~[classes/:?]
	at org.apache.isis.core.metamodel.interactions.managed.MemberInteraction.getManagedMemberElseThrow(MemberInteraction.java:114) ~[classes/:?]
	at org.apache.isis.core.metamodel.interactions.managed.ActionInteraction.getManagedActionElseThrow(ActionInteraction.java:183) ~[classes/:?]
	at org.apache.isis.core.metamodel.interactions.managed.ActionInteraction.getManagedActionElseFail(ActionInteraction.java:188) ~[classes/:?]
	at org.apache.isis.viewer.common.model.action.HasActionInteraction.getManagedAction(HasActionInteraction.java:35) ~[classes/:?]"
ISIS-2914,Improvement,Closed,@XmlJavaTypeAdapter on Properties should be optional if the referenced Type has it already,"Dan Haywood ...
Looking at the adding of @XmlJavaTypeAdapter to the fields, eg EmployeeWithEmployment#employment ... I think it ought to be sufficient instead to annotate the entities eg Employment themselves?"
ISIS-2913,New Feature,Closed,[kroviz] Handle Multiple Server Connections (Gracefully),"Connections to multiple servers are already possible, although not nicely presented in the UI.
 * amend system menu (=v) with one entry per (connected) server
 * when server is switched, switch menubar content as well
 * provide a DnD example using the (left hand) dock
 * use  local and remote demo for POC (simpleapp not configured for CORS yet)"
ISIS-2912,New Feature,Resolved,[kroviz] Serve Static Resources Different Than Dynamic Resources,"Investigate if and how static resources (e.g. object-icon) could be served faster.

Currently they are handled like dynamic resources (e.g. object-layout).

 

C.f. https://the-asf.slack.com/archives/CFC42LWBV/p1638545632071000"
ISIS-2911,Bug,Closed,Entity Choice Providers appear detached when using JDO,reproduce ... [Demo/JDO] Nature Stateful Refs Entity
ISIS-2910,Bug,Closed,Viewmodels after Modification must invalidate their memoized Bookmark,"We do memoize Bookmarks for Entities and Viewmodels within their wrapping ManagedObject. However, for Viewmodels we must invalidate the Bookmark whenever there are (property) changes happening."
ISIS-2909,Improvement,Closed,[Demo]  Enable http-2 per default,"{code:java}
 server:
+  http2:
+    enabled: true
{code}

see also https://blog.stackpath.com/glossary-http2/"
ISIS-2908,New Feature,Open,[kroviz] POC for Processing Non-RO Events,"Convert e.g. GeoRSS ([https://disasterscharter.org/charter-portlets/cpi-mvc/activations/feed/rss/]) into events and visualize them on GeoMap.

References:
 * [https://www.javacodegeeks.com/2020/05/rest-using-feeds-to-publish-events.html]
 * [https://www.npmjs.com/package/rss-watcher]

(!) Eventually rss-watcher needs to be modified in order process GeoRSS"
ISIS-2907,Bug,Closed,css-class-fa not applied to menu items based on action classes,"When in the application.yml for isis is configured with:
{code:java}
isis:
  applib:
    annotation:
      action-layout:
        css-class-fa:
          patterns:
            - new.*:fa-plus
            - add.*:fa-plus-square
            - attach.*:fa-plus-square
            - create.*:fa-plus{code}
This will not be applied to:
{code:java}
public class ContactsMenu {
    @Action
    public class newContact{
        public Person act( ...{code}
This workaround works:
{code:java}
public class ContactsMenu { 
    @Action
    @ActionLayout(cssClassFa = ""fa-plus"")
    public class newContact{
        public Person act( ... {code}"
ISIS-2906,Improvement,Closed,"[RO Viewer] JsonRepresentation to preserve Map<K, V> Ordering","Investigate, whether its as simple as replacing an underlying HashMap<K, V> with a LinkedHashMap<K, V>."
ISIS-2905,Wish,Open,[Wish] Provide import/export function for roles,"It would be convenient to be able to test roles and then import them in a prod environment.

Also copy-ing existing and slightly adapting them as a new role would be a use case.

(The way we use the current isissecurity in Estatio, roles can consist of 45 lines)"
ISIS-2904,Bug,Closed,Wicket Viewer: ScalarPropertyModel.getManagedProperty() fails when mixed in ,"ObjectSpecification's getProperty(id), getCollection(id), getAction(id) are ambiguous, as to whether include mixed-in or not.

This suggests refactoring above methods, to take an additional argument to govern, as to whether include mixed-in or not."
ISIS-2903,Bug,Closed,Recreation fails for ViewModels containing Entities,"reproduce ... [Demo] Nature Stateful Refs Entity

Various glitches:
'add Child' ... no choices given
'add All' ... throws
java.lang.IllegalStateException: entity demo.JaxbRefEntity is required to have a memoized ID, otherwise cannot re-attach 

Also click on VM's title (reload page) throws."
ISIS-2902,Improvement,Closed,Harmonize ManagedMember.MemberType and Identifier.Type,"Or at least investigate whether semantics can be made more clear, especially when ManagedMember or Identifier do reference a Mixin.

eg. for mixins these tests are not equivalent, which in the past had lead to framework bugs ...
memberType.isPropertyOrCollection()
identifier.getType().isPropertyOrCollection()"
ISIS-2901,Bug,Closed,Using namedXxx with Mixins does not work,Bug is with the regex vs. imperative name matching logic to determine a FontAwesome css-class-name if any.
ISIS-2900,Improvement,In Progress,wrapMixin(...) should inject into both mixin and mixee and result of action.,
ISIS-2899,Improvement,Closed,[DUPLICATE] Relax arch rule (ArchitectureJdoRules.every_jdo_PersistenceCapable_with_DATASTORE_identityType_must_be_annotated_as_DataStoreIdentity()),This one should only check root entities; subclasses do not need the identity definition
ISIS-2898,New Feature,Closed,[WON'T DO] Add `@LogicalTypeName` as a meta-annotation,"{code:java}
@Column(length = LogicalTypeName.MAX_LEN, allowsNull = ""true"")
@Property(maxLength = LogicalTypeName.MAX_LEN, optionality = OPTIONAL)
@PropertyLayout
@Parameter(maxLength = LogicalTypeName.MAX_LEN, optionality = OPTIONAL)
@ParameterLayout
@Target({ METHOD, FIELD, PARAMETER, ANNOTATION_TYPE })
@Retention(RUNTIME)
public @interface LogicalTypeName {

    int MAX_LEN = 254;

}
 {code}"
ISIS-2897,Bug,Closed,"Wicket viewer caching old instance of mixin (and thus entity), resulting in NPE when invoke action prompt",Mixed in actions on an entity instance do receive a detached mixee (entity) object. Seen with JDO.
ISIS-2896,Bug,Closed,Regression: char/Character Property not rendered correctly,"Instead of showing the property value, the value rendered is 'ScalarPropertyModel'."
ISIS-2895,Bug,Closed,[Not a Problem] Property referencing a DomainObject rendered as empty Box,"Expected to see an icon with link and label, instead it appears as a white box. The link however is active."
ISIS-2894,Bug,Closed,"Metamodel validation ""orphan"" errors if implement interface.","Given:

public interface Succeedable<T>

{ T getSuccessor(); void setSuccessor(T successor); }

when:

public class BankAccount implements Succeedable<BankAccount>

{  @Column(allowsNull = ""true"", name = ""successorId"") @Property(editing = Editing.DISABLED) @PropertyLayout(hidden = Where.PARENTED_TABLES) @Getter @Setter private BankAccount successor; }

then get metamodel validation error:

.BankAccount#getSuccessor(): has annotation @Domain.Include, is assumed to support a property, collection or action. Unmet constraint(s): misspelled prefix or unsupported method signature

~~~~

or:

org.apache.isis.subdomains.base.applib.Chained

and

public class Agreement implements Chained<Agreement>"
ISIS-2893,Bug,Closed,Command log does not publish for mixin actions.,"Predicate org.apache.isis.applib.Identifier.matchesCommand(Command) fails to match, when the action is mixed in.

e.g when the Command's memberId is ""Employment#bookLeave"", and the objectMember.getFeatureIdentifier() is ""Employment_bookLeave#act"""
ISIS-2892,Improvement,Closed,Upgrade Wicket 8.x -> 9.x,Also incorporates transition from Bootstrap 4.6 -> 5.1.
ISIS-2891,Improvement,Closed,Remove @ComponentScan where can be replaced by a Component Listing,"Except for the Demo App, we don't want to use @ComponentScan. That should help reduce Application bootstrapping time."
ISIS-2890,Bug,Closed,@ComponentScan missing in IsisModuleSubdomainsDocxApplib,"In Isis subdomain Docx, due to not including @ComponentScan in IsisModuleSubdomainsDocxApplib the spring beans are not registered."
